GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Vendora - Online Beauty Store,com.vendora.epic1.util,TokenGenerator,14,0,0,0,3,0,2,0,2,0
Vendora - Online Beauty Store,com.vendora.epic1.util,OtpGenerator,29,0,2,0,6,0,4,0,3,0
Vendora - Online Beauty Store,com.vendora.epic1.util,ValidationUtils,28,0,8,0,4,0,8,0,4,0
Vendora - Online Beauty Store,com.vendora.epic4.model,Payment,49,6,0,0,14,2,14,1,14,1
Vendora - Online Beauty Store,com.vendora.epic4.model,Order,97,3,0,0,30,1,21,1,21,1
Vendora - Online Beauty Store,com.vendora.epic1.service.impl,AuthServiceImpl,692,38,74,0,157,13,55,2,17,2
Vendora - Online Beauty Store,com.vendora.epic1.service.impl,EmailVerificationServiceImpl,53,9,2,0,11,1,3,1,2,1
Vendora - Online Beauty Store,com.vendora.epic1.service.impl,PasswordServiceImpl,284,19,26,0,57,2,20,2,7,2
Vendora - Online Beauty Store,com.vendora.epic1.service.impl,UserServiceImpl,287,9,22,0,68,1,21,1,10,1
Vendora - Online Beauty Store,com.vendora.epic1.service.impl,AdminUserServiceImpl,153,6,12,0,37,1,15,1,9,1
Vendora - Online Beauty Store,com.vendora.epic1.service.impl,PartnershipServiceImpl,436,18,26,0,99,1,20,1,7,1
Vendora - Online Beauty Store,com.vendora.epic1.service.impl,EmailServiceImpl,227,10,8,0,52,2,10,2,6,2
Vendora - Online Beauty Store,com.vendora.epic5.config,SecurityConfig,23,0,0,0,6,0,4,0,4,0
Vendora - Online Beauty Store,com.vendora.epic6.config,WebMvcConfig,0,29,0,0,0,4,0,2,0,2
Vendora - Online Beauty Store,com.vendora.epic1.config,SecurityConfig,0,74,0,0,0,16,0,11,0,11
Vendora - Online Beauty Store,com.vendora.epic1.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
Vendora - Online Beauty Store,com.vendora.epic1.config,CorsConfig.new WebMvcConfigurer() {...},0,47,0,0,0,7,0,2,0,2
Vendora - Online Beauty Store,com.vendora.epic1.config,AuditingConfig,0,3,0,0,0,1,0,1,0,1
Vendora - Online Beauty Store,com.vendora.epic1.config,CustomerViewConfig,0,24,0,0,0,7,0,2,0,2
Vendora - Online Beauty Store,com.vendora.epic1.config,WebMvcConfig,0,19,0,0,0,5,0,2,0,2
Vendora - Online Beauty Store,com.vendora.epic1.dto.admin,UpdateUserStatusRequest,87,0,14,0,6,0,17,0,10,0
Vendora - Online Beauty Store,com.vendora.epic1.dto.admin,UserListResponse,59,0,0,0,25,0,17,0,17,0
Vendora - Online Beauty Store,com.vendora.epic1.dto.admin,CreateUserByAdminRequest,38,0,0,0,16,0,11,0,11,0
Vendora - Online Beauty Store,com.vendora.epic1.dto.admin,UpdateUserStatusRequest.UpdateUserStatusRequestBuilder,19,0,0,0,1,0,4,0,4,0
Vendora - Online Beauty Store,com.vendora.epic1.dto.admin,UpdateUserRoleRequest,85,0,14,0,5,0,16,0,9,0
Vendora - Online Beauty Store,com.vendora.epic1.dto.admin,AdminDashboardResponse,31,0,0,0,13,0,9,0,9,0
Vendora - Online Beauty Store,com.vendora.epic1.dto.admin,UpdateUserRoleRequest.UpdateUserRoleRequestBuilder,19,0,0,0,1,0,4,0,4,0
Vendora - Online Beauty Store,com.vendora.epic3.service,DeliveryChargeService,13,3,2,0,2,1,2,1,1,1
Vendora - Online Beauty Store,com.vendora.epic3.service,CartService,320,12,24,0,70,5,26,1,14,1
